GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
"G010","1925",,"010",,,"Alabama",25
"G040","1925",,"040",,,"Arizona",13
"G050","1925",,"050",,,"Arkansas",35
"G060","1925",,"060",,,"California",115
"G080","1925",,"080",,,"Colorado",25
"G090","1925",,"090",,,"Connecticut",110
"G100","1925",,"100",,,"Delaware",66
"G120","1925",,"120",,,"Florida",82
"G130","1925",,"130",,,"Georgia",27
"G160","1925",,"160",,,"Idaho",46
"G170","1925",,"170",,,"Illinois",137
"G180","1925",,"180",,,"Indiana",85
"G190","1925",,"190",,,"Iowa",149
"G200","1925",,"200",,,"Kansas",50
"G210","1925",,"210",,,"Kentucky",43
"G220","1925",,"220",,,"Louisianna",37
"G230","1925",,"230",,,"Maine",38
"G240","1925",,"240",,,"Maryland",77
"G250","1925",,"250",,,"Massachusetts",108
"G260","1925",,"260",,,"Michigan",71
"G270","1925",,"270",,,"Minnesota",80
"G280","1925",,"280",,,"Mississippi",29
"G290","1925",,"290",,,"Missouri",61
"G300","1925",,"300",,,"Montana",14
"G310","1925",,"310",,,"Nebraska",60
"G320","1925",,"320",,,"Nevada",17
"G330","1925",,"330",,,"New Hampshire",38
"G340","1925",,"340",,,"New Jersey",136
"G350","1925",,"350",,,"New Mexico",6
"G360","1925",,"360",,,"New York",71
"G370","1925",,"370",,,"North Carolina",50
"G380","1925",,"380",,,"North Dakota",30
"G390","1925",,"390",,,"Ohio",88
"G400","1925",,"400",,,"Oklahoma",34
"G410","1925",,"410",,,"Oregon",44
"G420","1925",,"420",,,"Pennsylvania",72
"G440","1925",,"440",,,"Rhode Island",90
"G450","1925",,"450",,,"South Carolina",43
"G460","1925",,"460",,,"South Dakota",45
"G470","1925",,"470",,,"Tennessee",42
"G480","1925",,"480",,,"Texas",28
"G490","1925",,"490",,,"Utah",38
"G500","1925",,"500",,,"Vermont",35
"G510","1925",,"510",,,"Virginia",52
"G530","1925",,"530",,,"Washington",58
"G540","1925",,"540",,,"West Virginia",40
"G550","1925",,"550",,,"Wisconsin",87
"G560","1925",,"560",,,"Wyoming",9
