GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
"G010","1954",,"010",,,"Alabama",58
"G040","1954",,"040",,,"Arizona",26
"G050","1954",,"050",,,"Arkansas",77
"G060","1954",,"060",,,"California",227
"G080","1954",,"080",,,"Colorado",40
"G090","1954",,"090",,,"Connecticut",289
"G100","1954",,"100",,,"Delaware",157
"G120","1954",,"120",,,"Florida",107
"G130","1954",,"130",,,"Georgia",60
"G160","1954",,"160",,,"Idaho",90
"G170","1954",,"170",,,"Illinois",230
"G180","1954",,"180",,,"Indiana",194
"G190","1954",,"190",,,"Iowa",199
"G200","1954",,"200",,,"Kansas",80
"G210","1954",,"210",,,"Kentucky",95
"G220","1954",,"220",,,"Louisianna",112
"G230","1954",,"230",,,"Maine",61
"G240","1954",,"240",,,"Maryland",177
"G250","1954",,"250",,,"Massachusetts",224
"G260","1954",,"260",,,"Michigan",130
"G270","1954",,"270",,,"Minnesota",106
"G280","1954",,"280",,,"Mississippi",74
"G290","1954",,"290",,,"Missouri",79
"G300","1954",,"300",,,"Montana",24
"G310","1954",,"310",,,"Nebraska",72
"G320","1954",,"320",,,"Nevada",27
"G330","1954",,"330",,,"New Hampshire",86
"G340","1954",,"340",,,"New Jersey",399
"G350","1954",,"350",,,"New Mexico",21
"G360","1954",,"360",,,"New York",107
"G370","1954",,"370",,,"North Carolina",128
"G380","1954",,"380",,,"North Dakota",36
"G390","1954",,"390",,,"Ohio",185
"G400","1954",,"400",,,"Oklahoma",63
"G410","1954",,"410",,,"Oregon",78
"G420","1954",,"420",,,"Pennsylvania",134
"G440","1954",,"440",,,"Rhode Island",309
"G450","1954",,"450",,,"South Carolina",87
"G460","1954",,"460",,,"South Dakota",39
"G470","1954",,"470",,,"Tennessee",93
"G480","1954",,"480",,,"Texas",62
"G490","1954",,"490",,,"Utah",48
"G500","1954",,"500",,,"Vermont",61
"G510","1954",,"510",,,"Virginia",106
"G530","1954",,"530",,,"Washington",115
"G540","1954",,"540",,,"West Virginia",68
"G550","1954",,"550",,,"Wisconsin",101
"G560","1954",,"560",,,"Wyoming",15
